ttid , smile
D00EMF , CC1=CC2=C(C=C1Cl)N(CC2)C(=O)NC3=CN=C(C=C3)OC4=C(N=CC=C4)C
D00EMH , CC1(CC(C(=O)NC2=C1C=CC(=C2)NC3=NC=C(C(=N3)NC4=C(C=CC=C4F)C(=O)NC)Cl)NC(=O)N5CCCC5)C
D00ENC , CC(C=CC(=O)O)O
D00ENR , CCC(=O)C1=C(C2=C(CC3=C(C2=O)C(=CC=C3)O)C=C1)O
D00ENY , C(CC(=O)O)C(C(=O)O)N
D00EOD , CC=C(C)C(=O)OC1CC2(C(=O)C=C(O2)C(=CC3C1C(=C)C(=O)O3)CO)C
D00EOP , CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CC4C(=O)NC(=O)S4
D00EPD , C1=CC=C(C(=C1)S(=O)(=O)C2=NNC(=O)C=C2)Cl
D00EPL , C1CN(CCN1)C2=NN=C3N2C4=CC=CC=C4CC5=CC=CC=C53
D00EPM , C1=CC(=NC=C1Cl)NC(=O)NC2=CC(=CC(=C2)C#N)F
D00EPS , C1=CC=C(C=C1)CS(=O)(=O)NC(CO)C(=O)NC(CO)C(=O)NCC2=CC=C(C=C2)C(=N)N
D00EPT , CC1=C(C2=C(C3(CC3)C(C(=O)C2=C1)(C)O)C)CO
D00EQL , CCN(C1CCOCC1)C2=CC(=CC(=C2C)C(=O)NCC3=C(C=C(NC3=O)C)C)C4=CC=C(C=C4)CN5CCOCC5
D00ERV , CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC
D00ERW , C1CCOC2=NC(=CN=C2C#N)NC(=O)NC3=CC(=C(C=C3OC1)NCC4=CN=CS4)Cl
D00ESG , C1CN(CCN1C2=CC=CC=N2)C(=O)N
D00ETS , CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
D00EUD , CCC(CC1=CC=C(C=C1)SC)N
D00EUE , C(C(C(=O)O)N)SS(=O)(=O)O
D00EVC , CC1=CC(=NC(=C1)N)CC(C)C
D00EVP , CCCCCC(C1=CC=C(C=C1)N2C(CCC2=O)COCC3=CC=C(S3)C(=O)OC(C)C)O
D00EWP , CC(=O)NC1=CC2=C(C=C1)C(=O)C3=C(C2=O)C=C(C=C3)NC(=O)C
D00EWR , C1C(OC2=C(C13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N
D00EYY , CCCCN1C2=C(C=CC=N2)C(=C(C1=O)NC(=O)NC3=C(C=C(C=C3C(C)C)CN)C(C)C)C4=CC(=CC=C4)OC.Cl
D00EZE , COC1=CC=C(C=C1)N2CC(OC2=O)CN3CCC(CC3)(C4=CC5=C(C=C4)OCO5)O
D00EZO , C1CC2(CCN(C2)C3=CN=CC=C3)NC1
D00FAE , C1CC(N(C1)C(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)N)C(=O)N2CC(CC2C(=O)NCC(=O)NC(C3CC4=CC=CC=C4C3)C(=O)NC(CO)C(=O)NC5CSC6=CC=CC=C6N(C5=O)CC(=O)O)O
D00FAW , C1=CC(=CC(=C1)OC(F)(F)F)C(=O)NC2=NN=C(S2)SCC(=O)O
D00FAY , C1=CC(=C(C=C1C2=CSC=C2)N)N
D00FCF , C1CCC(CC1)C(=O)NC2=CC3=C(C=C2)C(=O)C4=C(C3=O)C=C(C=C4)NC(=O)C5CCCCC5
D00FCJ , CC1=CC(=CC=C1)OC2=CC=C(C=C2)NC(=O)CCC(C(=O)N)N
D00FDS , C1CCNC(C1)COC2=CC=C(C=C2)OC3=CC=CC=C3
D00FEA , CC(C)CN(CC(C(CSC1=CC=CC=C1)NC(=O)OC2CC3CCOC3C2)O)S(=O)(=O)C4=CC=C(C=C4)CO
D00FEH , CC(C)CCC(C)(C1(CC2=C(C(=C3C(=C2O1)C(=CC(=O)O3)C4=CC=CC=C4)C(=O)CC(C)C)O)C)O
D00FGA , C1CCN(C1)C#N
D00FGB , CC(=O)NC1CC2=C(C1)C=C(C=C2)S(=O)(=O)N
D00FGO , C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
D00FGR , CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
D00FGV , CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
D00FHI , CC(C(=O)N1C2CCC(C1C(=O)O)CC2)NC(CCC3=CC=CC=C3)C(=O)O
D00FHR , C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4
D00FHV , CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)N)NC(=O)CC(C(CC2CCCCC2)NC(=O)C(CC3=CN=CN3)NC(=O)C(CC4=CC=CC=C4)NC(=O)C5CCCN5C(=O)C(CC6=CN=CN6)NC(=O)CC(C)C)O
D00FHZ , C1CNCC=C1C2=CNC3=C2NC(=O)C=C3
D00FIE , C1=CC=C2C(=C1)C3=NN(C4=CC=CC(=C43)C2=O)CCO
D00FIT , CC(C(CCCC1=CC=CC=C1)N2C=NC3=C(N=CN=C32)N)O
D00FIV , CCCCCC=CCC(C(CCCCCCCC(=O)O)O)O
D00FJT , COC1=CC=CC(=C1OC)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O
D00FLQ , CC(CC1=CNC2=CC=CC=C21)(C(=O)NC(CC3=CC=CC=C3)CC(=O)O)NC(=O)OC4C5CC6CC(C5)CC4C6
D00FLT , C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CC(CCC(C(=O)O)N)N)O)O)N
D00FMV , C(CCN)CN
D00FMX , CC1=CC=CC=C1OC2=C(C=CC=N2)C3CCNCC3
D00FOE , CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)CCC=C(C5=CC(=C(C(=C5)Cl)O)C(=O)O)C6=CC(=C(C(=C6)Cl)O)C(=O)O)C)C
D00FOZ , CCCCOC1=CC=CC(=C1)NC(=O)ON=C(C)C
D00FPB , CC(CC(=O)O)CO
D00FPG , CN1C=C(C2=CC=CC=C21)C(=O)N
D00FPI , COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OCCCCOC6=C(C=CC7=CC8=[N+](CCC9=CC1=C(C=C98)OCO1)C=C76)OC
D00FPJ , C1=CC(=CC=C1C2C(=O)C3=C(C2=O)C(=CC(=C3)O)O)O
D00FPT , CN1C=[N+](C2=C1C(=O)NC(=N2)N)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
D00FQP , CC(C)C(C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(CCC(=O)N)C(=O)NC(C)C(=O)N)NC(=O)C2CCCN2
D00FRY , CCC(C(C)(C)C)NC(=O)C(C1(CCCC1)C(=O)O)NC(=O)C(CC(=O)C(C(C)(C)C)NC(=O)NC2C(CCCC2C)C)CC(=O)C(C)(C)C
D00FSV , CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
D00FTQ , CCCCCC(CC(=O)O)O
